Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
IDMloginsuperadmin-launch,20,370,271,1084,174.56,0.000%,.10492,15.37,0.62,150001.0
launch,20,370,271,1084,174.56,0.000%,.10492,15.37,0.62,150001.0
IDMloginsuperadmin-login,20,1039,828,2121,272.69,0.000%,.10498,73.37,3.42,715677.0
login-details,20,1023,549,2779,525.11,0.000%,.10459,0.11,0.10,1059.0
update-user-scenario-temp,20,1030,527,3332,683.17,0.000%,.10319,0.08,0.12,780.0
scenario-list,20,1266,663,2545,618.34,0.000%,.10215,1.79,0.13,17944.6
login,20,4358,2864,8772,1744.19,0.000%,.10085,72.43,3.63,735460.6
Setup Save -create-scenario,20,1224,839,2268,387.26,0.000%,.10208,0.10,0.23,956.5
setupsavedisplay-scenario,20,988,468,2694,580.85,0.000%,.10216,0.16,0.11,1599.1
setup savedisplay-scenario-status,20,1201,591,2920,616.32,0.000%,.10188,0.09,0.12,873.0
setup Save and navigation to filtercriteria,20,3414,2118,7882,1485.71,0.000%,.10109,0.34,0.46,3428.7
save-create-filter,20,1128,653,2750,556.94,0.000%,.10147,0.08,0.12,789.0
generate-trialuniverse,20,1483,906,2993,564.51,0.000%,.10108,0.08,0.13,773.0
get-trialuniverse-details,20,1815,622,16206,3325.35,0.000%,.10117,2.63,0.16,26661.0
Trial criteria next nd navigation to universe screen,20,4427,2286,18120,3431.92,0.000%,.10033,2.77,0.40,28223.0
last-module-activated-benchmark-metrics,20,846,352,2538,563.38,0.000%,.10111,0.07,0.13,751.0
generate-benchmark,20,2105,1461,4071,644.29,0.000%,.10028,0.08,0.11,784.0
last-module-activated-benchmark-universe,29,773,372,1689,388.95,0.000%,.01646,0.01,0.02,751.0
get-benchmark-details,20,1044,543,1722,350.62,0.000%,.10031,0.17,0.12,1776.0
get-benchmark-trial-details,20,2904,2247,4010,521.19,0.000%,.09916,1.26,0.13,13011.0
benchmark-summary-saved-filter,20,1288,666,2771,592.30,0.000%,.09967,0.07,0.12,734.0
trial universe next and benchmark screen,20,9067,6012,13390,2137.32,0.000%,.09708,1.69,0.70,17807.0
Site rank generate,20,3756,3312,4677,374.48,0.000%,.09831,0.08,0.19,849.0
site-check-async-status,341,812,461,2883,450.11,0.000%,.87425,0.65,1.04,758.1
sites asynch service,20,99243,11318,195259,55995.19,0.000%,.05063,0.64,1.02,12924.9
flyout/generate-site,20,3527,3252,4561,394.98,0.000%,.05166,0.04,0.06,849.0
flyout generate site--parallel to pi generate,20,3527,3252,4561,394.98,0.000%,.05166,0.04,0.06,849.0
pi-generate,20,3567,3264,5501,539.97,0.000%,.05164,0.04,0.09,849.0
pi generate,20,3567,3264,5501,539.97,0.000%,.05164,0.04,0.09,849.0
PI/check-async-status,623,657,450,3353,278.43,0.000%,.90712,0.67,1.07,757.6
pi rank asynch,20,176483,23305,313980,84122.64,0.000%,.02891,0.67,1.06,23598.5
invflyout/generate,20,3484,3295,4449,304.89,0.000%,.02977,0.02,0.03,849.0
site generate highest inv,20,3543,3258,5472,597.09,0.000%,.02980,0.02,0.04,849.0
flyout services-invflyout-sitehighestinv-parallel to country generate,20,7027,6575,9607,836.08,0.000%,.02962,0.05,0.07,1698.0
country rank generate,20,3520,3258,4604,408.95,0.000%,.02979,0.02,0.06,849.0
