Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
country generate,20,3520,3258,4604,408.95,0.000%,.02979,0.02,0.06,849.0
country/check-async-status,924,627,456,3013,206.09,0.000%,.97345,0.72,1.15,757.3
country_rank_asynch_parent,20,260328,98079,341328,65973.57,0.000%,.02096,0.72,1.15,34989.4
flyout/generate-country,20,3441,3281,4847,337.14,0.000%,.02327,0.02,0.03,849.0
flyout generate country,20,3441,3281,4847,337.14,0.000%,.02327,0.02,0.03,849.0
flyout count asynch call,2528,1136,679,33424,1819.81,0.040%,1.06884,0.78,1.47,748.9
flyout_count_asynch_parent,9,776529,550264,879746,96566.01,0.000%,.00566,0.29,0.55,52723.3
insert into user activity,9,649,424,1225,234.68,0.000%,.00864,0.03,0.01,3580.0
RDCcountry-rank-display,9,919,662,1408,210.76,0.000%,.00864,0.19,0.02,22298.0
RDCcountrynarrowresults,9,829,519,1565,330.22,0.000%,.00864,0.01,0.01,816.0
country ranked display calls,9,2941,2103,4066,701.42,0.000%,.00862,0.23,0.05,27445.0
navigation to country prioritzation,9,162153,100302,181506,27462.40,0.000%,.00514,0.82,1.21,164386.7
COupdate-country-survey-flag-details,9,692,571,918,102.83,0.000%,.00864,0.01,0.04,789.0
COcountry-rank-save,9,1984,1552,2780,428.19,0.000%,.00863,0.19,0.02,22307.0
COsite-rank-save,9,2523,2139,2698,176.27,0.000%,.00862,0.13,0.02,15022.3
COpi-rank-save,9,2863,2407,3372,311.44,0.000%,.00862,0.09,0.02,10254.0
update-scenario-status,9,883,626,1166,151.10,0.000%,.00863,0.01,0.01,816.0
display-scenario-status,9,786,638,987,106.17,0.000%,.00863,0.01,0.01,867.0
COcountry-get-survey-details,9,661,557,877,99.51,0.000%,.00863,0.01,0.01,789.0
COget-country-outreach-details,9,880,771,975,74.54,0.000%,.00863,0.10,0.04,11609.0
save country priortization and navigation to country outreach ,9,11275,10136,12345,746.17,0.000%,.00855,0.52,0.16,62453.3
country outreach savesave-country-outreach-details,9,749,539,1031,166.12,0.000%,.00862,0.01,0.01,742.0
country outreach save search-details,9,1090,544,2079,440.89,0.000%,.00861,0.09,0.01,10526.0
country outreach save,9,1839,1087,3110,587.74,0.000%,.00861,0.09,0.02,11268.0
country export,9,16458,12728,19639,2772.96,0.000%,.00846,0.02,0.01,2244.3
country export_parent,9,16458,12728,19639,2772.96,0.000%,.00846,0.02,0.01,2244.3
Initiate survey-country,9,4471,3539,6686,944.08,0.000%,.00854,0.01,0.01,901.0
country search details,9,1198,575,4540,1201.87,0.000%,.00857,0.09,0.01,10602.0
initiate country survey,9,5669,4137,11226,2057.73,0.000%,.00854,0.10,0.02,11503.0
summary-detail-sitecountry,9,590,496,674,60.58,0.000%,.00857,0.08,0.01,9000.0
summary-detail_site_region,9,601,499,738,67.09,0.000%,.00857,0.02,0.01,2897.0
summary-detail-inv_country,9,675,562,1132,168.74,0.000%,.00857,0.08,0.01,9129.0
summary-detail-inv_region,9,745,569,1444,256.43,0.000%,.00857,0.02,0.01,2946.0
get-site-comparison-details,9,650,535,997,132.19,0.000%,.00857,0.05,0.01,5628.0
summary,9,3264,2894,4985,615.99,0.000%,.00855,0.25,0.05,29600.0
pi-rank display,9,1071,884,1291,121.52,0.000%,.00857,0.12,0.02,14672.0
pi_narrow_results,9,623,552,705,49.44,0.000%,.00857,0.01,0.01,1202.0
Navigation to pi screen ,9,1694,1526,1926,129.55,0.000%,.00856,0.13,0.03,15874.0
SPsites screen get-survey-details,9,634,561,728,47.58,0.000%,.00857,0.01,0.01,789.0
SPsite-rank-display,9,968,822,1341,152.55,0.000%,.00857,0.18,0.02,21432.0
SPsite-narrow results,9,596,514,729,78.03,0.000%,.00857,0.01,0.01,1193.0
SPtags-narrow-result,18,654,496,1015,130.83,0.000%,.01712,0.01,0.02,842.0
SPregion-narrow-result,9,612,532,808,90.52,0.000%,.00857,0.01,0.01,1193.0
sites Priortization,9,4119,3819,4715,270.32,0.000%,.00854,0.22,0.08,26291.0
scenario mapview,9,753,520,1280,207.20,0.000%,.00857,0.09,0.01,10574.0
sites Priortization Map view,9,753,520,1280,207.20,0.000%,.00857,0.09,0.01,10574.0
save-site-curr-optimisation-flag,9,743,590,891,91.43,0.000%,.00857,0.01,0.05,800.0
SOsite-rank-save,9,2340,2102,2906,226.51,0.000%,.00856,0.13,0.02,15030.3
SOpi-rank-save,9,2727,2611,2986,138.40,0.000%,.00855,0.09,0.02,10254.0
Socountry-rank-save,9,1811,1631,2133,146.78,0.000%,.00856,0.19,0.02,22307.0
SOupdate-scenario-status,9,850,624,1499,274.31,0.000%,.00856,0.01,0.01,816.0
SOdisplay-scenario-status,9,783,657,962,83.09,0.000%,.00856,0.01,0.01,867.0
SOget-survey-details,9,569,487,706,72.62,0.000%,.00857,0.01,0.01,789.0
SOget-site-outreach-details,9,1125,898,1572,191.92,0.000%,.00856,0.07,0.04,8647.0
navigation to sites outreach-create,9,10951,10335,11647,456.47,0.000%,.00849,0.49,0.17,59510.3
SSOsave-site-outreach-details,9,909,602,1282,231.72,0.000%,.00856,0.01,0.01,742.0
SSOsites-search-details,9,785,544,1110,179.70,0.000%,.00856,0.07,0.01,7952.0
save sites outreach,9,1694,1284,2370,345.85,0.000%,.00856,0.07,0.02,8694.0
site survey creation,9,4197,3414,5519,657.86,0.000%,.00853,0.01,0.01,900.0
site search details,9,641,557,777,69.01,0.000%,.00856,0.07,0.01,7993.0
sites initiate survey,9,4838,3971,6205,704.16,0.000%,.00852,0.07,0.02,8893.0
Add-site,9,52664,38918,60133,6692.07,33.333%,.00813,0.01,0.04,1122.0
ASsave-site-curr-optimisation-flag,9,3975,585,19475,5934.36,0.000%,.00860,0.01,0.01,800.0
ASsite-rank-save,9,3157,2238,5927,1134.65,0.000%,.00858,0.17,0.02,20161.6
AScountry-rank-save,9,2307,1514,3406,633.35,0.000%,.00859,0.19,0.01,22307.0
ASpi-rank-save,9,3085,2455,4049,585.53,0.000%,.00859,0.09,0.01,10254.0
ASupdate-scenario-status,9,1464,640,2617,748.27,0.000%,.00860,0.01,0.01,816.0
ASsite-rank-display,9,1271,862,2257,435.58,0.000%,.00860,0.17,0.02,20135.6
Add Sites,9,67926,62817,74965,3509.23,33.333%,.00807,0.60,0.11,75596.1
TOTAL,5741,4789,271,879746,37762.27,0.122%,2.22649,19.17,5.92,8818.0
