Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
summary-detail-inv_region,9,1203,691,1920,441.11,0.000%,.19675,0.57,0.24,2946.0
get-site-comparison-details,9,1149,776,1658,331.49,0.000%,.19621,1.08,0.24,5628.0
summary,9,5501,3325,7692,1680.92,0.000%,.18587,5.37,1.14,29600.0
pi-rank display,9,1539,1032,2279,393.64,0.000%,.19443,2.79,0.36,14671.0
pi_narrow_results,9,1137,685,1545,313.37,0.000%,.19678,0.23,0.27,1202.0
Navigation to pi screen ,9,2676,1745,3788,570.04,0.000%,.19021,2.95,0.62,15873.0
SPsites screen get-survey-details,9,868,548,2003,449.95,0.000%,.20078,0.15,0.24,789.0
SPsite-rank-display,9,1227,877,1847,340.43,0.000%,.20559,4.30,0.43,21433.1
SPsite-narrow results,9,988,595,1451,327.68,0.000%,.20824,0.24,0.29,1193.0
SPtags-narrow-result,18,1008,566,2778,535.91,0.000%,.36928,0.30,0.51,842.0
SPregion-narrow-result,9,906,560,1785,436.49,0.000%,.19824,0.23,0.27,1193.0
sites Priortization,9,6008,4481,9078,1279.64,0.000%,.16887,4.34,1.48,26292.1
scenario mapview,9,1489,803,2925,734.82,0.000%,.18640,1.92,0.24,10574.0
sites Priortization Map view,9,1489,803,2925,734.82,0.000%,.18640,1.92,0.24,10574.0
save-site-curr-optimisation-flag,9,1076,666,1849,362.96,0.000%,.18385,0.14,1.06,800.0
SOsite-rank-save,9,3035,2616,3772,376.85,0.000%,.17445,2.56,0.36,15031.7
SOpi-rank-save,9,3670,2512,6623,1486.24,0.000%,.17519,1.75,0.33,10253.0
Socountry-rank-save,9,1975,1449,3176,461.73,0.000%,.17813,3.88,0.38,22307.0
SOupdate-scenario-status,9,915,709,1342,188.63,0.000%,.18156,0.14,0.21,816.0
SOdisplay-scenario-status,9,1183,659,1620,316.99,0.000%,.18095,0.15,0.21,867.0
SOget-survey-details,9,1238,649,3854,939.08,0.000%,.17217,0.13,0.22,789.0
SOget-site-outreach-details,9,1782,1058,3490,908.90,0.000%,.16433,1.39,0.84,8647.0
navigation to sites outreach-create,9,14877,12481,19011,2144.61,0.000%,.13612,7.91,2.79,59510.7
SSOsave-site-outreach-details,9,1637,741,3868,1104.10,0.000%,.16632,0.12,0.21,742.0
SSOsites-search-details,9,2095,568,7083,1854.41,0.000%,.14991,1.16,0.22,7952.0
save sites outreach,9,3732,1502,7824,1965.30,0.000%,.14706,1.25,0.40,8694.0
site survey creation,9,7208,3935,16235,3699.73,0.000%,.11991,0.11,0.15,900.0
site search details,9,5075,542,18056,6037.36,0.000%,.12180,0.95,0.18,7993.0
sites initiate survey,9,12284,4617,24670,7828.73,0.000%,.11433,0.99,0.31,8893.0
ASget-constraint-filter-cluster,9,2467,545,11293,3261.91,0.000%,.12365,0.17,0.16,1386.0
ASget-constraint-filter-country,9,2826,574,16303,4812.61,0.000%,.12440,0.09,0.17,741.0
ASget-constraint-filter-therapeutic,9,2486,584,11042,3150.70,0.000%,.12372,0.13,0.17,1108.0
ASget-constraint-filter-sites,9,3034,580,14030,4016.65,0.000%,.12239,0.96,0.18,8042.0
