Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
drug map display-detail ,25,12768,553,36954,11177.35,0.000%,.02435,0.24,0.03,10027.0
Drug landscape map ,25,71347,6562,137777,42102.80,0.000%,.02409,0.36,0.20,15419.0
drug-patient-detail,25,19158,3036,36668,11158.29,0.000%,.02352,0.07,0.03,2973.0
drug detail ,25,19158,3036,36668,11158.29,0.000%,.02352,0.07,0.03,2973.0
countrycount-site metric,25,41209,16562,76803,15641.78,0.000%,.02280,0.20,0.03,8968.0
Country Landscape- map,25,41209,16562,76803,15641.78,0.000%,.02280,0.20,0.03,8968.0
display-country-landscape,25,15652,623,39282,10101.69,0.000%,.02330,0.10,0.03,4437.4
country-dropdown,25,15804,535,30639,9851.78,0.000%,.02329,0.07,0.03,3101.0
countrylandscape-detail-drugprofile,25,15728,839,27245,9494.34,0.000%,.02327,0.05,0.03,2079.0
countrylandscape-detail-site-investigator,25,35130,23452,51257,7693.72,0.000%,.02278,0.02,0.03,923.2
countrylandscape-detail-clinical-trial,25,15324,938,32173,7776.86,0.000%,.02326,0.09,0.03,3755.0
Country detail display,25,97642,27932,146528,35614.26,0.000%,.02272,0.32,0.15,14295.6
sitemap,25,52368,10910,180075,44945.06,4.000%,.02282,0.49,0.03,21786.4
generate-experience-category-site-new,25,17676,3319,33499,6893.11,0.000%,.02395,0.02,0.03,894.0
Site landscape experience-generate,25,17676,3319,33499,6893.11,0.000%,.02395,0.02,0.03,894.0
check-async-status-Site experience trial async service,334,8599,481,36542,9509.88,0.000%,.29631,0.22,0.34,757.4
Site experience  async service,25,103409,18327,507727,155516.62,0.000%,.02357,0.11,0.18,4878.1
Site map,25,141208,26983,504434,126477.84,4.000%,.02229,0.60,0.22,27558.5
experience-category-site-old,25,31219,11206,49607,7938.60,0.000%,.02345,0.12,0.03,5243.4
experience-metrics/trial-category/generate,25,16920,3449,42037,9453.40,0.000%,.02433,0.02,0.03,894.0
Site experience trial async service,25,78369,7310,170339,48033.54,0.000%,.02422,0.12,0.19,5241.4
sitemetric-trial,25,13689,3454,31523,7167.27,0.000%,.02524,0.05,0.03,1914.2
